,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,ocean_proximity_encoded
0,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,1
1,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,1
2,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,1
3,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,1
4,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,1
5,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,1
6,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,1
7,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,1
8,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,1
9,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,1
10,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,1
11,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,1
12,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,1
13,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,1
14,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,1
15,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,1
16,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,1
17,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,1
18,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,1
19,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,1
20,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,1
21,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,1
22,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,1
23,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,1
24,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,1
25,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,1
26,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,1
27,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,1
28,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,1
29,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,1
30,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,1
31,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,1
32,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,1
33,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,1
34,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,1
35,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,1
36,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,1
37,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,1
38,52.0,1470.0,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,1
39,52.0,2432.0,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,1
40,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,1
41,51.0,936.0,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,1
42,49.0,713.0,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,1
43,52.0,950.0,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,1
44,52.0,1443.0,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,1
45,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,1
46,50.0,1125.0,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,1
47,43.0,1007.0,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,1
48,40.0,624.0,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,1
49,40.0,946.0,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,1
50,21.0,896.0,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,1
51,43.0,1868.0,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,1
52,41.0,3221.0,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,1
53,52.0,1630.0,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,1
54,52.0,1170.0,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,1
55,52.0,945.0,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,1
56,52.0,1238.0,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,1
57,52.0,1489.0,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,1
58,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,1
59,2.0,158.0,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,1
60,52.0,1121.0,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,1
61,49.0,135.0,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,1
62,50.0,760.0,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,1
63,52.0,1224.0,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,1
64,48.0,828.0,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,1
65,52.0,1010.0,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,1
66,48.0,1455.0,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,1
67,52.0,1027.0,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,1
68,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,1
69,46.0,2801.0,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,1
70,26.0,768.0,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,1
71,46.0,935.0,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,1
72,49.0,844.0,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,1
73,46.0,12.0,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,1
74,20.0,835.0,161.0,290.0,133.0,2.483,137500.0,NEAR BAY,1
75,17.0,1237.0,462.0,762.0,439.0,0.9241,177500.0,NEAR BAY,1
76,36.0,2914.0,562.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,1
77,19.0,1207.0,243.0,721.0,207.0,1.1111,108300.0,NEAR BAY,1
78,23.0,1745.0,374.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,1
79,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,NEAR BAY,1
80,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,NEAR BAY,1
81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,NEAR BAY,1
82,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,NEAR BAY,1
83,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,NEAR BAY,1
84,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,NEAR BAY,1
85,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,NEAR BAY,1
86,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,NEAR BAY,1
87,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,NEAR BAY,1
88,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,NEAR BAY,1
89,52.0,249.0,78.0,396.0,85.0,1.2434,500001.0,NEAR BAY,1
90,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,NEAR BAY,1
91,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,NEAR BAY,1
92,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,NEAR BAY,1
93,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,NEAR BAY,1
94,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,1
95,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,1
96,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,1
97,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,NEAR BAY,1
98,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,1
99,37.0,3633.0,1085.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,1
100,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,1
101,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,1
102,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,NEAR BAY,1
103,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,NEAR BAY,1
104,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,1
105,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,NEAR BAY,1
106,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,NEAR BAY,1
107,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,NEAR BAY,1
108,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,NEAR BAY,1
109,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,1
110,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,NEAR BAY,1
111,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,1
112,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,1
113,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,NEAR BAY,1
114,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,NEAR BAY,1
